Company Name,Customer Class,Product,Effective Start Date (mm/dd/yyyy),Effective End Date(mm/dd/yyyy),Contract Length(months),Natural Gas $/GJ,Service Area
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","06/01/2015","06/30/2015","1",="3.47","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Gas Rate June 2016","06/01/2016","06/30/2016","0",="1.374","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home","Regulated Gas Rate June 2017","06/01/2017","06/30/2017","0",="1.235","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home","DERS Regulated Gas Rate June 2018","06/01/2018","06/30/2018","0",="0.544","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate June 2019","06/01/2019","06/30/2019","0",="0.365","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate June 2020","06/01/2020","06/30/2020","0",="2.381","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate June 2021","06/01/2021","06/30/2021","0",="3.352","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate June 2022","06/01/2022","06/30/2022","0",="8.037","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate June 2023","06/01/2023","06/30/2023","0",="2.452","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","07/01/2002","07/31/2002","1",="2.38","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","07/01/2003","07/31/2003","1",="6.8","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","07/01/2004","07/31/2004","1",="5.89","ATCO Gas North"
